SRR,bam_name,sample,genotype,replicate
SRR10600147,bt2_SRR10600147.new.sam.bam,G44r5,44,5
SRR10600148,bt2_SRR10600148.new.sam.bam,G44r4,44,4
SRR10600149,bt2_SRR10600149.new.sam.bam,G44r3,44,3
SRR10600150,bt2_SRR10600150.new.sam.bam,G44r30,44,30
SRR10600151,bt2_SRR10600151.new.sam.bam,G44r2,44,2
SRR10600152,bt2_SRR10600152.new.sam.bam,G44r29,44,29
SRR10600153,bt2_SRR10600153.new.sam.bam,G44r28,44,28
SRR10600154,bt2_SRR10600154.new.sam.bam,G44r27,44,27
SRR10600155,bt2_SRR10600155.new.sam.bam,G13r28,13,28
SRR10600156,bt2_SRR10600156.new.sam.bam,G44r26,44,26
SRR10600157,bt2_SRR10600157.new.sam.bam,G44r25,44,25
SRR10600158,bt2_SRR10600158.new.sam.bam,G44r24,44,24
SRR10600159,bt2_SRR10600159.new.sam.bam,G44r22,44,22
SRR10600160,bt2_SRR10600160.new.sam.bam,G44r21,44,21
SRR10600161,bt2_SRR10600161.new.sam.bam,G44r20,44,20
SRR10600162,bt2_SRR10600162.new.sam.bam,G44r19,44,19
SRR10600163,bt2_SRR10600163.new.sam.bam,G44r18,44,18
SRR10600164,bt2_SRR10600164.new.sam.bam,G44r17,44,17
SRR10600165,bt2_SRR10600165.new.sam.bam,G44r16,44,16
SRR10600166,bt2_SRR10600166.new.sam.bam,G13r27,13,27
SRR10600167,bt2_SRR10600167.new.sam.bam,G44r15,44,15
SRR10600168,bt2_SRR10600168.new.sam.bam,G44r14,44,14
SRR10600169,bt2_SRR10600169.new.sam.bam,G44r13,44,13
SRR10600170,bt2_SRR10600170.new.sam.bam,G44r12,44,12
SRR10600171,bt2_SRR10600171.new.sam.bam,G44r11,44,11
SRR10600172,bt2_SRR10600172.new.sam.bam,G41r9,41,9
SRR10600173,bt2_SRR10600173.new.sam.bam,G41r5,41,5
SRR10600174,bt2_SRR10600174.new.sam.bam,G41r30,41,30
SRR10600175,bt2_SRR10600175.new.sam.bam,G41r29,41,29
SRR10600176,bt2_SRR10600176.new.sam.bam,G41r28,41,28
SRR10600177,bt2_SRR10600177.new.sam.bam,G13r26,13,26
SRR10600178,bt2_SRR10600178.new.sam.bam,G41r27,41,27
SRR10600179,bt2_SRR10600179.new.sam.bam,G41r25,41,25
SRR10600180,bt2_SRR10600180.new.sam.bam,G41r24,41,24
SRR10600181,bt2_SRR10600181.new.sam.bam,G41r23,41,23
SRR10600182,bt2_SRR10600182.new.sam.bam,G41r22,41,22
SRR10600183,bt2_SRR10600183.new.sam.bam,G41r21,41,21
SRR10600184,bt2_SRR10600184.new.sam.bam,G41r19,41,19
SRR10600185,bt2_SRR10600185.new.sam.bam,G41r18,41,18
SRR10600186,bt2_SRR10600186.new.sam.bam,G41r17,41,17
SRR10600187,bt2_SRR10600187.new.sam.bam,G41r16,41,16
SRR10600188,bt2_SRR10600188.new.sam.bam,G13r25,13,25
SRR10600189,bt2_SRR10600189.new.sam.bam,G41r15,41,15
SRR10600190,bt2_SRR10600190.new.sam.bam,G41r14,41,14
SRR10600191,bt2_SRR10600191.new.sam.bam,G41r13,41,13
SRR10600192,bt2_SRR10600192.new.sam.bam,G41r12,41,12
SRR10600193,bt2_SRR10600193.new.sam.bam,G41r11,41,11
SRR10600194,bt2_SRR10600194.new.sam.bam,G41h,41,h
SRR10600195,bt2_SRR10600195.new.sam.bam,G41g,41,g
SRR10600196,bt2_SRR10600196.new.sam.bam,G41f,41,f
SRR10600197,bt2_SRR10600197.new.sam.bam,G41e,41,e
SRR10600198,bt2_SRR10600198.new.sam.bam,G41d,41,d
SRR10600199,bt2_SRR10600199.new.sam.bam,G13r24,13,24
SRR10600200,bt2_SRR10600200.new.sam.bam,G41c,41,c
SRR10600201,bt2_SRR10600201.new.sam.bam,G41b,41,b
SRR10600202,bt2_SRR10600202.new.sam.bam,G41a,41,a
SRR10600203,bt2_SRR10600203.new.sam.bam,G3r9,3,9
SRR10600204,bt2_SRR10600204.new.sam.bam,G3r8,3,8
SRR10600205,bt2_SRR10600205.new.sam.bam,G3r7,3,7
SRR10600206,bt2_SRR10600206.new.sam.bam,G3r6,3,6
SRR10600207,bt2_SRR10600207.new.sam.bam,G3r5,3,5
SRR10600208,bt2_SRR10600208.new.sam.bam,G3r4,3,4
SRR10600209,bt2_SRR10600209.new.sam.bam,G3r3,3,3
SRR10600210,bt2_SRR10600210.new.sam.bam,G13r23,13,23
SRR10600211,bt2_SRR10600211.new.sam.bam,G3r30,3,30
SRR10600212,bt2_SRR10600212.new.sam.bam,G3r2,3,2
SRR10600213,bt2_SRR10600213.new.sam.bam,G3r29,3,29
SRR10600214,bt2_SRR10600214.new.sam.bam,G3r28,3,28
SRR10600215,bt2_SRR10600215.new.sam.bam,G3r27,3,27
SRR10600216,bt2_SRR10600216.new.sam.bam,G3r26,3,26
SRR10600217,bt2_SRR10600217.new.sam.bam,G3r25,3,25
SRR10600218,bt2_SRR10600218.new.sam.bam,G3r24,3,24
SRR10600219,bt2_SRR10600219.new.sam.bam,G3r23,3,23
SRR10600220,bt2_SRR10600220.new.sam.bam,G3r22,3,22
SRR10600221,bt2_SRR10600221.new.sam.bam,G13r22,13,22
SRR10600222,bt2_SRR10600222.new.sam.bam,G3r21,3,21
SRR10600223,bt2_SRR10600223.new.sam.bam,G3r20,3,20
SRR10600224,bt2_SRR10600224.new.sam.bam,G3r1,3,1
SRR10600225,bt2_SRR10600225.new.sam.bam,G3r19,3,19
SRR10600226,bt2_SRR10600226.new.sam.bam,G3r18,3,18
SRR10600227,bt2_SRR10600227.new.sam.bam,G3r17,3,17
SRR10600228,bt2_SRR10600228.new.sam.bam,G3r16,3,16
SRR10600229,bt2_SRR10600229.new.sam.bam,G3r15,3,15
SRR10600230,bt2_SRR10600230.new.sam.bam,G3r14,3,14
SRR10600231,bt2_SRR10600231.new.sam.bam,G3r13,3,13
SRR10600232,bt2_SRR10600232.new.sam.bam,G13r21,13,21
SRR10600233,bt2_SRR10600233.new.sam.bam,G3r11,3,11
SRR10600234,bt2_SRR10600234.new.sam.bam,G3r10,3,10
SRR10600235,bt2_SRR10600235.new.sam.bam,G34r9,34,9
SRR10600236,bt2_SRR10600236.new.sam.bam,G34r8,34,8
SRR10600237,bt2_SRR10600237.new.sam.bam,G34r7,34,7
SRR10600238,bt2_SRR10600238.new.sam.bam,G34r6,34,6
SRR10600239,bt2_SRR10600239.new.sam.bam,G34r5,34,5
SRR10600240,bt2_SRR10600240.new.sam.bam,G34r4,34,4
SRR10600241,bt2_SRR10600241.new.sam.bam,G34r3,34,3
SRR10600242,bt2_SRR10600242.new.sam.bam,G34r2,34,2
SRR10600243,bt2_SRR10600243.new.sam.bam,G13r20,13,20
SRR10600244,bt2_SRR10600244.new.sam.bam,G34r29,34,29
SRR10600245,bt2_SRR10600245.new.sam.bam,G34r28,34,28
SRR10600246,bt2_SRR10600246.new.sam.bam,G34r27,34,27
SRR10600247,bt2_SRR10600247.new.sam.bam,G34r26,34,26
SRR10600248,bt2_SRR10600248.new.sam.bam,G34r25,34,25
SRR10600249,bt2_SRR10600249.new.sam.bam,G34r24,34,24
SRR10600250,bt2_SRR10600250.new.sam.bam,G34r23,34,23
SRR10600251,bt2_SRR10600251.new.sam.bam,G34r22,34,22
SRR10600252,bt2_SRR10600252.new.sam.bam,G34r21,34,21
SRR10600253,bt2_SRR10600253.new.sam.bam,G1r8,1,8
SRR10600254,bt2_SRR10600254.new.sam.bam,G1r7,1,7
SRR10600255,bt2_SRR10600255.new.sam.bam,G1r6,1,6
SRR10600256,bt2_SRR10600256.new.sam.bam,G1r5,1,5
SRR10600257,bt2_SRR10600257.new.sam.bam,G1r4,1,4
SRR10600258,bt2_SRR10600258.new.sam.bam,G1r3,1,3
SRR10600259,bt2_SRR10600259.new.sam.bam,G1r2,1,20
SRR10600260,bt2_SRR10600260.new.sam.bam,G13r15,13,15
SRR10600261,bt2_SRR10600261.new.sam.bam,G1r29,1,29
SRR10600262,bt2_SRR10600262.new.sam.bam,G1r28,1,28
SRR10600263,bt2_SRR10600263.new.sam.bam,G1r27,1,27
SRR10600264,bt2_SRR10600264.new.sam.bam,G1r26,1,26
SRR10600265,bt2_SRR10600265.new.sam.bam,G1r25,1,25
SRR10600266,bt2_SRR10600266.new.sam.bam,G1r24,1,24
SRR10600267,bt2_SRR10600267.new.sam.bam,G1r23,1,23
